,Tuples completed in 1hr,,,,Average rates,,,
Query,Esper,CSPE,Postgres,CDB,Esper,CSPE,Postgres,CDB
Axfinder,35345,44220,36962,111957,9.818055556,12.28333333,10.26722222,31.09916667
Brokerspread,31280,49630,48900,113276,8.688888889,13.78611111,13.58333333,31.46555556
Brokervariance,30141,82580,45990,117366,8.3725,22.93888889,12.775,32.60166667
Missedtrades,26390,27020,30585,111173,7.330555556,7.505555556,8.495833333,30.88138889
Pricespread,30992,37880,35554,47960,8.608888889,10.52222222,9.876111111,13.32222222
Vwap,28424,33500,31609,46409,7.895555556,9.305555556,8.780277778,12.89138889
Q3,1620,214900,109983,138010,0.45,59.69444444,30.55083333,38.33611111
Q11,31651,47180,46702,70699,8.791944444,13.10555556,12.97277778,19.63861111
Q17,54360,117300,11443,30535,15.1,32.58333333,3.178611111,8.481944444
Q18,57202,76080,5007,137050,15.88944444,21.13333333,1.390833333,38.06944444
Q22,29790,143340,6756,165000,8.275,39.81666667,1.876666667,45.83333333
SSB4,98097,249100,78175,371861,27.24916667,69.19444444,21.71527778,103.2947222